# DRL Reproduction Sheet
# Building,Brock Commons Tallwood House
# Location,"Vancouver, British Columbia, Canada"
# Completed,August 2017
# Architect,Acton Ostry Architects Inc.
# Structural,Fast + Epp
# LCA practitioner,"Athena Sustainable Materials Institute (Matt Bowick, author)"
# LCA standard,"EN 15978:2011, 100-year reference study period"
# Auditor,Murphy O'Neal
# Version,1.0

# === Public sources ===
#,Athena EBD (Bowick 2018),https://www.naturallywood.com/wp-content/uploads/Tallwood_House_Environmental_Declaration_20180608.pdf
#,Canadian Wood Council case study,https://cwc.ca/wp-content/uploads/2018/04/CS-BrockCommon.Study_.8.pdf

# === Disclosed figures ===
Item,Value,Unit
Timber volume,2233,m3
Biogenic stored,1753,tCO2e
Substitution avoided,679,tCO2e
Total disclosed wood benefit,2432,tCO2e
Whole-building 100-yr GWP,29900,tCO2e
Per GFA,1977,kgCO2e/m2

# === Recompute inputs ===
Input,Value,Unit / Band
Timber volume,2233,m3
A1-A3 factor,0.18,tCO2e/m3
Biogenic storage factor,0.917,tCO2e/m3
SOC efflux factor,0.12,tCO2e/m3 (band: mid)
EOL methane fraction,0.12,fraction of biogenic C (band: ximenes)
Foregone seq factor,0.95,tCO2e/m3 (band: yr100)

# === Recompute outputs ===
Line,Value,Unit
A1-A3,401.94,tCO2e
Biogenic storage,-1753,tCO2e
Disclosed net,-2030.06,tCO2e
SOC efflux,267.96,tCO2e
EOL methane,2134.2,tCO2e
Foregone sequestration,2121.35,tCO2e
Full-boundary total,4925.45,tCO2e
Delta vs disclosed,6955.51,tCO2e

# === Boundary statements (from source) ===
#,On excluded module B1,"Athena EBD, p. 13",B1: there is currently insufficient consensus in terms of methodology and data to practically quantify these effects for all products used in the building.
#,On end-of-waste allocation,"Athena EBD, p. 14","This assessment assumes that once the material is either [1] separated for recycling, reuse, or energy recovery purposes or [2] disposed of (i.e. either via landfill or incineration), it has reached its end-of-waste state."

# === Notes ===
#,"Biogenic-storage line uses the EN 15978 convention factor of 0.917 tCO2e per m3 of softwood timber, which corresponds to ~0.25 tC stored per m3 multiplied by 44/12 to convert C to CO2e."
#,"End-of-life methane line uses 12% of biogenic carbon released as CH4 in landfill (Ximenes 2008 measured value), multiplied by 16/44 to convert C mass to CH4 mass, then by IPCC AR6 GWP100 of 27.9."
#,Foregone-sequestration window is set to 100 years to match the EN 15978 reference study period of the source EBD. This is a methodological choice that can be challenged; the calculator allows 50-yr and 200-yr alternatives.
#,"SOC efflux factor of 0.12 tCO2e per m3 harvested timber is mid-range from James & Harrison 2016 meta-analysis (11% average SOC loss in top 30 cm), normalised to typical BC interior plantation yield of ~250 m3/ha."

# All emission factors are sourced. See companion PDF or building page for citations.
